,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
526,-73.89619,40.846657,0
759950,-73.9437223,40.7928731,0
804912,-73.9711391,40.7446695,2
841779,-73.9131496,40.8465765,0
538651,-73.9903644,40.7192038,0
908297,-73.9497508,40.5906331,0
557045,-73.9583509,40.7605353,0
330468,-74.0262133,40.6214926,0
273706,-74.0093484,40.7289889,0
636113,-73.856637,40.7465954,0
326973,-73.8988988,40.679561,0
490269,-73.9610689,40.7608574,0
501155,-73.9816215,40.7786073,0
901538,-73.9678754,40.8013526,0
43805,-73.9599766,40.6502101,0
17995,-73.937645,40.812744,0
564847,-74.025071,40.6174806,0
444037,-73.8287931,40.7566718,0
281041,-73.9730158,40.7642781,0
309267,-73.9424176,40.6185937,0
521436,-73.9253747,40.8326282,1
701321,-73.9006685,40.6436608,0
536212,-73.9698874,40.7529991,0
924296,-73.9949394,40.7008398,0
651006,-74.0902785,40.5707802,0
995029,-73.974648,40.7533681,0
737486,-73.8382923,40.7556404,0
601854,-73.7546996,40.7147104,0
604532,-73.9815589,40.7438808,0
914593,-73.9347418,40.7509782,0
360776,-74.001054,40.7570653,0
290456,-73.9312248,40.8294782,0
869276,-73.9735083,40.678639,0
409100,-73.8018436,40.6749364,0
214718,-73.9900681,40.7466595,0
329234,-73.9816215,40.7786073,0
541507,-74.0160711,40.6431097,1
858897,-73.9583509,40.7605353,0
214549,-73.7513699,40.7287213,0
267151,-73.9078565,40.6781165,0
826212,-73.8156998,40.884735,0
352003,-73.9014133,40.7004921,0
384837,-73.8508811,40.7375562,0
292054,-73.983213,40.6959932,0
501685,-74.0123418,40.7027569,0
604821,-73.9971269,40.7546224,0
723479,-73.9610101,40.7749544,0
245259,-73.8205668,40.7097504,0
310259,-73.9167832,40.8398821,0
211054,-73.9817411,40.7505341,0
657430,-74.0219825,40.6210811,0
458547,-73.9717112,40.7504936,0
234005,-73.985618,40.5804161,0
86197,-73.74565,40.602695,0
85564,-73.9014132,40.8468635,0
2458,-73.99548,40.759624,0
522562,-73.9956441,40.744099,0
244335,-73.8780005,40.8874462,0
653527,-73.8974769,40.6781627,0
713721,-73.9292196,40.819058,0
883244,-73.8370288,40.739302,0
936744,-73.9154723,40.7537927,2
454200,-73.945696,40.7861742,0
994114,-73.9899039,40.7344344,0
35061,-73.963005,40.613335,0
322976,-73.9911129,40.7332131,0
483747,-73.9749156,40.7616682,0
722006,-73.8743435,40.7346737,0
757936,-73.9934591,40.7244328,0
487027,-73.8018436,40.6749364,0
532570,-73.9800367,40.7655201,0
509489,-73.7629686,40.7133746,1
556523,-73.9906233,40.7509908,0
750766,-73.9804246,40.7598989,0
213983,-73.8341189,40.7710377,0
439869,-73.9903644,40.7192038,0
35820,-73.843155,40.709225,0
437971,-73.9722023,40.749824,0
381182,-73.9845604,40.7484375,0
663233,-73.9825546,40.7313511,0
656478,-73.906908,40.7532838,0
498562,-73.9762353,40.7656758,0
368145,-73.9531884,40.7716578,0
991363,-73.9928968,40.7199725,0
245682,-73.8508783,40.6912455,0
936548,-73.9857147,40.7679171,0
434142,-73.8722693,40.8422609,0
324367,-73.9928216,40.7143649,0
240763,-73.9043888,40.675207,0
21008,-73.951126,40.710957,1
678499,-73.9127363,40.872316,0
15938,-73.95298,40.81507,0
444000,-73.9906233,40.7509908,0
430121,-74.0054034,40.7563515,0
742527,-73.9502515,40.6725296,0
710268,-73.979056,40.7617706,0
60753,-74.0051756,40.7514055,0
495456,-73.9897692,40.7190253,0
367988,-73.9836217,40.7497247,0
933056,-74.0030301,40.7155838,0
353689,-73.982023,40.7490492,0
437176,-73.9382191,40.7873964,0
304234,-73.9242798,40.8071867,0
563071,-73.9800367,40.7655201,0
489156,-73.9629739,40.7624884,0
650941,-73.9454833,40.8077723,0
970792,-74.1622151,40.6053049,0
722061,-73.9156089,40.8026684,0
231165,-73.7679068,40.736341,3
656882,-73.9914181,40.7448014,0
429778,-73.9316841,40.744669,0
229376,-73.9170643,40.8636899,1
394215,-73.9873621,40.7810619,0
282075,-73.8471548,40.7442432,0
294561,-74.0125342,40.6326333,0
977606,-73.976047,40.757233,0
361365,-73.9871041,40.696131,0
594145,-73.966814,40.7641063,0
3255,-73.80324,40.7797,0
274756,-73.9058416,40.8310577,0
531479,-73.9702587,40.7622874,0
371738,-73.837628,40.7423301,0
275663,-73.9905157,40.7460392,0
23986,-73.96057,40.5778,1
351646,-73.933575,40.8027515,0
401593,-73.9858793,40.7408539,1
957365,-73.959696,40.7627399,0
44166,-73.897606,40.659832,0
784379,-73.9807894,40.7108907,1
318783,-73.9882,40.7185558,0
20436,-73.99595,40.75898,0
412054,-73.9345761,40.7396752,0
32951,-73.79681,40.589966,0
949627,-73.9926041,40.7241363,0
257056,-73.9532051,40.7141086,0
239764,-73.8873051,40.738645,0
750194,-74.1688765,40.6212504,0
782741,-74.0061151,40.7237466,0
480551,-73.9392802,40.7861411,0
318399,-73.920305,40.835397,0
838878,-73.9472242,40.8308453,0
844981,-73.7632393,40.7470921,0
252244,-73.9812105,40.7250737,0
832072,-73.955157,40.7649175,0
369873,-74.0148752,40.709646,0
467597,-73.8386219,40.7570665,0
635507,-73.9992169,40.672888,0
91132,-74.0000829,40.6239056,0
922551,-73.9795146,40.7611476,0
632032,-73.8254185,40.7807646,0
283634,-73.9870011,40.6877731,0
922716,-73.7581594,40.7489684,1
586314,-73.9760491,40.7514416,0
58399,-74.0147538,40.6339615,0
825815,-73.9565804,40.696785,0
961821,-73.9883345,40.7541306,0
416824,-73.9995563,40.713926,0
761365,-74.1226428,40.5754823,0
280935,-73.9871041,40.696131,0
736405,-73.9688897,40.7641617,0
429054,-73.9914542,40.6042086,0
682652,-73.8868607,40.6773595,5
293591,-73.9382191,40.7873964,0
406523,-73.9737625,40.6830499,0
271557,-73.9908182,40.7242734,1
930839,-73.7266443,40.74091,0
574045,-73.9583509,40.7605353,0
267303,-73.9034962,40.8187237,0
804758,-73.9982311,40.6958033,1
469944,-73.9353886,40.7613564,0
666907,-73.9344544,40.7973092,0
840729,-73.9351455,40.8319794,1
442760,-74.0219756,40.6213581,0
402105,-73.739753,40.7576387,0
854704,-73.9164642,40.6766464,0
762463,-73.7692044,40.7390483,0
950260,-73.9647563,40.7640562,0
594552,-73.9943762,40.7583771,0
403027,-73.9907554,40.7348379,0
562296,-73.9999386,40.7484001,0
387826,-73.733834,40.7628923,0
641868,-73.9614295,40.6616893,0
478371,-73.8054526,40.6668946,0
820986,-74.000397,40.7477688,0
529404,-74.0068099,40.7440605,0
796428,-74.0068074,40.7197776,0
280743,-73.9834455,40.7470979,0
69628,-73.8344413,40.7816627,0
566822,-73.8411542,40.7419723,0
734812,-73.9335895,40.7447332,0
539351,-74.1020892,40.5666476,1
679945,-73.9503006,40.6840001,0
985707,-73.8820877,40.8831331,0
557222,-73.9598555,40.773642,1
552118,-73.9852826,40.6976294,0
77664,-74.0032408,40.6718514,0
896038,-73.9892051,40.6378239,0
718993,-74.0055325,40.7458144,0
347285,-73.9210658,40.6571755,0
86134,-73.9259545,40.6980182,1
956587,-73.9656926,40.7685442,0
922332,-73.9521874,40.7730188,0
98411,-74.2102805,40.5247216,0
494671,-73.9629739,40.7624884,0
485773,-74.1142267,40.5797344,0
351546,-73.9643142,40.7606005,0
671336,-73.9010787,40.8627551,0
300194,-73.9601534,40.5846437,0
229022,-73.7675541,40.756592,0
554769,-73.8968663,40.749611,0
791229,-73.9786065,40.7450578,0
48857,-73.96608,40.629543,2
254040,-73.9814728,40.6899325,0
245107,-74.0025224,40.7397514,0
618272,-73.9735237,40.7578088,0
644882,-73.9308839,40.8481201,0
256884,-73.85341,40.89213,1
419935,-73.9862022,40.767242,0
233905,-73.9903149,40.7616074,0
507115,-73.9525069,40.5832535,0
338619,-73.9850441,40.7477733,0
51227,-74.0005848,40.7576938,0
582460,-74.0650758,40.6012042,0
805025,-74.0015516,40.7357962,0
424095,-73.8789756,40.7291801,0
700480,-73.8250515,40.686027,1
542610,-73.9493936,40.8354859,0
754440,-74.0005303,40.7184302,0
320135,-73.9809793,40.764222,0
513435,-73.9671533,40.7567642,0
674345,-74.0005303,40.7184302,0
11117,-73.827156,40.75451,0
402360,-73.7638528,40.7610968,0
915291,-73.9080899,40.6761899,0
102967,-73.8346499,40.6671159,0
586491,-73.9675748,40.802928,0
813514,-73.8201832,40.7168259,0
472388,-73.9820779,40.7729916,0
597588,-73.9793493,40.7355528,0
721817,-74.0005303,40.7184302,0
369460,-73.9496688,40.6516965,0
873860,-73.8899842,40.8207839,0
947435,-73.999242,40.7595273,0
7289,-73.9055,40.680035,0
874293,-73.9956441,40.744099,0
245055,-73.9469195,40.6783196,0
789438,-73.9899039,40.7344344,0
743125,-73.9588098,40.7599125,0
473930,-73.9960038,40.7639984,0
103766,-74.0009817,40.7520589,1
906963,-73.9810212,40.7692723,0
12620,-73.96446,40.681126,0
946547,-73.9734636,40.7636578,0
95812,-74.0301488,40.6256912,0
42792,-74.1010536,40.5791703,0
459515,-73.9896169,40.7472771,1
612614,-73.9887144,40.7485121,0
317162,-73.8590554,40.8334144,0
321219,-73.9993192,40.6246549,2
28673,-73.92523,40.8059,0
819761,-73.9848306,40.6869302,0
316944,-74.0011515,40.762025,0
98969,-73.9831689,40.7561391,0
797239,-73.9527048,40.7765625,0
363307,-73.9381937,40.7921868,0
222019,-73.976702,40.5826881,0
106910,-73.9037936,40.7779565,0
433559,-73.8509652,40.6717192,0
917363,-73.8386902,40.7599494,0
623769,-73.9845604,40.7484375,0
245077,-73.9614533,40.7016614,0
13436,-73.97767,40.67157,0
822942,-73.9857147,40.7679171,0
977366,-73.9533413,40.5792684,2
765952,-73.9720374,40.7265621,0
211767,-74.0053146,40.7286048,0
794676,-73.9959155,40.7328483,0
41434,-73.93819,40.69864,0
525721,-73.8141814,40.6985865,0
846180,-73.8396595,40.7641725,0
526648,-73.9615205,40.760229,0
954460,-73.9855364,40.7579729,0
538769,-73.8231763,40.7581922,0
453276,-73.9467528,40.7710786,0
555142,-73.9928968,40.7199725,0
465628,-73.9800367,40.7655201,0
91871,-73.9120558,40.8236601,0
309332,-73.9292373,40.7378083,0
319924,-73.8044903,40.6668627,0
10790,-73.98007,40.755642,0
726866,-73.7703999,40.7446461,0
325571,-73.9887144,40.7485121,0
971280,-73.9709581,40.7642144,0
763796,-73.9908775,40.7659332,0
450396,-73.8965093,40.674396,0
831249,-73.9730158,40.7642781,0
367144,-73.8463307,40.6695557,1
213409,-74.1091109,40.5796104,0
669327,-73.9781153,40.7572855,0
959903,-73.9643142,40.7606005,0
630287,-74.0045344,40.7162809,0
530297,-73.9895745,40.7415488,0
950397,-73.9708587,40.79338,0
804134,-74.0018117,40.7458255,0
729091,-73.9958754,40.7386864,0
8327,-73.88732,40.65414,0
520202,-73.9841751,40.7598419,0
565534,-73.9829207,40.6404169,0
550419,-73.8035726,40.6969357,1
525010,-73.9453046,40.7395518,0
444298,-73.9719069,40.757125,0
352501,-73.8194359,40.7651388,0
460154,-74.0011515,40.762025,0
625676,-74.0032612,40.7203761,0
405936,-73.9792862,40.7528008,0
379098,-73.9440837,40.809693,0
789079,-73.9985635,40.7534669,0
926051,-73.9815199,40.7802816,0
733833,-73.9859454,40.752316,0
593468,-73.9928041,40.7429104,0
706038,-73.7371925,40.6697228,0
328921,-73.956961,40.7601349,0
481498,-73.9981196,40.7509033,0
554643,-74.0067388,40.7544905,0
598529,-73.7381163,40.7139849,0
558804,-73.9748892,40.7195512,0
531618,-73.9926531,40.7373303,0
33798,-73.99493,40.75529,0
770828,-73.9643142,40.7606005,0
996328,-73.9846193,40.7591997,0
239010,-73.9811338,40.7792907,0
831059,-73.9818487,40.7662862,0
543237,-73.9973001,40.7571064,0
766955,-73.9424112,40.8221642,0
92124,-74.1590003,40.5468121,0
292623,-73.9541414,40.583106,0
773168,-73.7713832,40.7253499,0
288541,-73.983213,40.6959932,0
300027,-74.1091833,40.571041,0
1004687,-74.0011515,40.762025,0
277445,-74.1688765,40.6212504,0
887828,-73.9914004,40.7703138,0
653091,-73.9949394,40.7008398,0
828431,-74.0023112,40.6820407,0
488834,-73.8331189,40.728233,0
980981,-73.9978197,40.7615008,0
755492,-73.9470014,40.7883815,0
222921,-73.8380134,40.7265632,0
980638,-74.1622663,40.6183886,0
308821,-73.8342056,40.7704501,0
431209,-73.9813298,40.6471826,0
326186,-73.9530878,40.7139775,0
56359,-73.7850239,40.6672287,0
322670,-73.9752686,40.6962153,0
511979,-73.9231348,40.8634114,0
29435,-73.9222,40.760475,0
977782,-73.9850489,40.7585739,0
489237,-74.0238834,40.6337239,0
513718,-73.8906229,40.6585778,0
571489,-73.9879382,40.7498542,0
23218,-73.9866,40.718006,0
551824,-73.9661291,40.7621793,0
448007,-74.0009817,40.7520589,0
475452,-73.9954294,40.71728,0
520222,-73.8918421,40.8189919,0
485145,-73.7679068,40.736341,1
442542,-73.92737,40.6235615,0
679009,-73.9735237,40.7578088,0
23148,-73.83387,40.850754,0
379978,-73.9485231,40.7446585,0
422055,-73.9906233,40.7509908,0
485850,-73.802787,40.7077158,0
9658,-73.989944,40.73447,0
381381,-73.9311544,40.8040684,0
933971,-73.9999711,40.7346873,0
690639,-73.910175,40.8886162,0
59450,-73.855293,40.8320099,0
936832,-73.9781997,40.6868194,0
345083,-73.9382948,40.7875082,1
462952,-73.9814728,40.6899325,0
927124,-73.7742265,40.6601677,0
705905,-73.9489716,40.7688772,0
236017,-73.9954735,40.759626,0
597816,-73.9735729,40.7794786,0
593016,-73.9937353,40.7416232,0
634951,-73.8453362,40.7385757,0
236063,-73.9744225,40.6449141,0
553289,-73.9672727,40.7634806,0
315207,-73.9716316,40.8043904,0
407064,-73.9974189,40.5946211,0
406493,-73.9916334,40.7547072,0
486796,-73.9952973,40.7496708,0
632804,-73.8947275,40.7457072,0
602831,-74.0007414,40.6755098,0
655973,-73.9250826,40.7325591,0
604322,-73.9189192,40.7320364,0
627173,-73.9246771,40.8762676,0
824214,-73.9840691,40.6901442,0
990896,-73.9242989,40.6283876,1
644890,-73.8263754,40.7183973,1
368110,-74.0011515,40.762025,0
627058,-73.8225821,40.7891216,0
576757,-74.0035402,40.7434485,0
32781,-73.94208,40.71473,1
806116,-73.9856472,40.7629162,0
637005,-73.7728608,40.7362694,0
640387,-73.9943762,40.7583771,0
262209,-74.1726275,40.6217531,0
880905,-74.1604016,40.6074402,0
283507,-73.9155159,40.8247084,0
814645,-74.0066956,40.7204364,0
991326,-73.9744374,40.7565574,0
659687,-73.7557617,40.675885,0
730151,-74.0157476,40.64656,0
327045,-73.7563932,40.7494725,0
823102,-73.8090389,40.7199104,0
632503,-73.9697999,40.7629131,0
542612,-73.8697016,40.7354974,0
841428,-73.9697999,40.7629131,0
24367,-73.9874,40.6791,0
790364,-73.9638616,40.8029708,0
779047,-73.8906229,40.6585778,0
344618,-73.9934636,40.7521904,0
536897,-73.9830665,40.6054977,0
939643,-73.9813298,40.6471826,0
824531,-74.0036885,40.7483561,0
845917,-73.953985,40.7788219,0
48487,-73.9780417,40.6848568,0
965910,-73.9838236,40.7654191,0
931954,-73.7960918,40.7032933,0
542080,-73.9703697,40.7965967,1
38441,-73.95816,40.647766,2
776811,-73.92395,40.7336872,0
991691,-73.9821677,40.7209677,0
