,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
353807,-73.9549775,40.688712,0
697454,-73.8518966,40.7441795,0
17399,-73.8686,40.73261,0
716167,-73.9720779,40.5903416,0
44040,-73.9261378,40.6628331,0
270699,-74.0811029,40.617789,0
567441,-73.9089607,40.7434703,0
800025,-73.9870157,40.7610362,2
100370,-73.8824872,40.7552899,3
28007,-73.758156,40.665634,1
484845,-73.7962822,40.7401229,1
146983,-73.9208602,40.805435,1
11672,-73.9222,40.760475,0
835699,-74.0126478,40.6428659,0
528119,-73.9077931,40.760517,0
860941,-73.8421578,40.7009037,1
995553,-73.8347991,40.7475728,4
749802,-74.0852059,40.6293142,1
653962,-73.9235892,40.7070278,0
531704,-74.0063331,40.7396305,0
470180,-73.7594537,40.7017816,0
764556,-73.90971,40.7497536,0
948998,-73.8840574,40.7345494,2
676334,-73.9257853,40.6815715,1
754813,-73.9944266,40.7169671,1
682807,-73.9804719,40.7831606,0
496516,-73.9610528,40.8068207,2
998264,-73.7860479,40.7525381,0
269110,-73.9464798,40.7948616,0
234323,-73.8704901,40.7196775,0
17657,-74.02455,40.624847,0
433384,-73.8700694,40.8965911,0
982328,-73.9991446,40.754584,0
543332,-73.9182799,40.7835752,0
427299,-73.966775,40.6322943,1
465201,-73.818411,40.6948631,2
45809,-73.907745,40.65794,0
46323,-73.888382,40.668789,0
942111,-73.9414991,40.6144102,0
981100,-73.8152441,40.7042012,0
972516,-73.882203,40.6853613,1
564532,-73.9305383,40.8536861,1
904919,-73.7599852,40.7144361,0
985517,-73.990759,40.7609926,0
896673,-73.8617067,40.8461393,0
799462,-73.7890744,40.6903857,0
457358,-73.9926041,40.7241363,0
788071,-73.817832,40.739659,1
957430,-73.9441849,40.6847054,0
484020,-73.9375408,40.7887968,0
941113,-73.9306435,40.7266047,0
934688,-74.1698275,40.5610915,0
971984,-73.7342953,40.7425075,0
771055,-73.9444984,40.7152274,2
732309,-73.8986871,40.8308375,0
734336,-73.8036933,40.7625055,0
462404,-73.9468394,40.7290319,0
449223,-73.8760673,40.7565375,1
962558,-73.8414531,40.7090458,1
526822,-73.8681791,40.8229458,0
670988,-73.9204005,40.8220605,3
949957,-73.8937569,40.7297801,0
250683,-74.2177725,40.5532456,0
884194,-74.0309361,40.6056732,0
321025,-73.8668523,40.7348217,0
394622,-73.8414102,40.7816918,1
89209,-73.8961904,40.6731495,0
714492,-73.8126461,40.7508196,0
496376,-73.8300388,40.7429662,0
661289,-73.8965724,40.705766,0
760706,-73.9789645,40.7113672,0
64247,-73.975513,40.7173406,1
17988,-73.800995,40.69248,2
862359,-74.0211036,40.6415089,0
913167,-73.9580577,40.7217327,0
889666,-74.1330983,40.6342532,0
427847,-73.8501426,40.7493385,1
257442,-73.9068519,40.8707826,3
579444,-73.9910308,40.6998478,1
954134,-73.8097661,40.6837904,0
779957,-73.9924897,40.7150813,0
696901,-73.9770181,40.7138769,0
579006,-73.9590084,40.7186369,0
577753,-73.8596365,40.7104205,0
720948,-73.8117233,40.666692,2
351161,-73.981,40.6283094,1
838069,-73.7629282,40.7612459,1
660200,-73.8819394,40.6713407,0
341638,-73.9184694,40.8617723,0
658856,-73.8971135,40.6212984,0
935821,-73.9341933,40.8531997,1
928775,-73.9700187,40.6217937,0
749297,-73.9751095,40.7353901,0
17387,-73.85822,40.7056,0
655587,-73.9520675,40.6286468,0
477174,-73.8808552,40.6627814,0
30707,-73.72985,40.665558,0
933514,-73.8022829,40.6649967,1
26282,-73.919106,40.8541,0
345064,-73.961304,40.57976,0
270181,-74.0032536,40.6381043,2
766471,-73.8639204,40.6739421,0
262785,-73.9152009,40.7356626,2
330058,-73.9434848,40.7960734,0
39673,-74.10081,40.610107,1
267994,-73.9440837,40.809693,0
65451,-73.8598325,40.895086,0
390392,-73.9050772,40.8171606,0
325146,-73.874567,40.6849552,2
44741,-73.8745935,40.841521,0
388247,-73.7891291,40.7654551,0
511023,-73.8853941,40.7608454,0
849610,-73.9100022,40.6483539,0
324415,-73.9207721,40.8619359,0
726004,-73.9529911,40.5858119,0
28551,-73.920135,40.66112,1
815776,-73.7804303,40.6851188,0
35923,-73.9105,40.830738,1
33736,-73.834274,40.685326,0
459598,-73.9303642,40.7644907,0
66947,-73.8632192,40.7027616,2
756108,-73.9084987,40.8538162,1
720120,-73.9600159,40.6448523,3
623862,-73.8821335,40.8353383,0
915056,-74.010259,40.6210313,0
60999,-73.7809498,40.6773548,0
712592,-73.7423809,40.6655527,1
964141,-74.1552911,40.6132456,0
952542,-73.8770276,40.67046,0
468488,-73.9228189,40.8427518,1
928796,-73.9311566,40.8116183,0
657150,-73.9285407,40.8120366,0
713816,-73.9353723,40.8334013,3
609754,-73.9629257,40.7583082,0
971716,-73.7597173,40.6686828,0
777818,-73.8864392,40.7216514,0
609099,-73.8039995,40.7602718,2
8197,-73.859184,40.751526,0
523554,-73.8460249,40.78015,1
652280,-73.9845951,40.7541768,0
789839,-74.0035102,40.7205573,3
758255,-73.8103344,40.7552705,0
266304,-73.8866984,40.8153626,1
16784,-73.9027,40.693665,0
961823,-73.9575338,40.7116098,0
812810,-74.1063991,40.581161,0
369700,-73.8166231,40.7522478,0
670343,-73.7926883,40.7156799,0
751890,-74.1126115,40.5676287,0
684376,-73.9388385,40.8372308,0
430261,-73.9334722,40.8386358,0
813386,-73.9421411,40.8378034,0
