,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
831586,-73.894168,40.8995403,4
438017,-73.9748892,40.7195512,0
832654,-73.824898,40.7161154,1
508835,-73.8186057,40.8750199,2
237893,-73.9183394,40.8233848,1
771594,-73.9474895,40.815206,0
691993,-73.9085903,40.7608909,0
638167,-73.9126111,40.8190302,0
994213,-73.9873956,40.7183032,1
266064,-73.8063359,40.6767965,1
599890,-73.8392407,40.7281484,1
62744,-73.8271877,40.6923706,1
539881,-73.8014289,40.7652848,0
367111,-74.0930272,40.5931674,0
969379,-73.7736537,40.670701,0
804878,-73.9573008,40.6305126,0
20278,-73.95671,40.67417,0
235073,-73.939629,40.7944657,0
817805,-73.751566,40.7105289,0
396493,-73.9959613,40.5727864,0
366013,-73.8492378,40.8825322,7
341749,-73.8053548,40.6954593,1
920676,-73.8148403,40.7379145,2
769813,-73.8457774,40.739936,0
267636,-73.8143618,40.6765105,0
811291,-73.9695659,40.6193973,2
313027,-73.9767859,40.6980864,1
982226,-73.8682432,40.7029703,0
684714,-73.979076,40.7668758,0
213165,-73.7620122,40.6973321,1
602628,-73.832233,40.7151185,0
490016,-73.8008286,40.6823425,1
504216,-73.8760673,40.7565375,0
347696,-73.962643,40.6960872,0
623179,-73.8776118,40.8706812,0
271391,-73.9279233,40.72895,1
7093,-73.952995,40.678722,1
974723,-73.7030874,40.7445481,0
56706,-73.735726,40.6899929,2
648879,-73.9866887,40.7816671,3
976020,-73.8974769,40.6781627,5
691718,-73.8804583,40.8822201,0
894659,-73.7896179,40.717,0
526866,-73.9830707,40.7306541,0
802043,-74.0031714,40.7276662,3
831324,-74.0023824,40.682197,1
385555,-73.9076597,40.8436876,0
396928,-73.7569053,40.7620943,0
465427,-73.9779845,40.6942577,1
970058,-73.9845292,40.6960346,0
27554,-73.927284,40.843903,1
76871,-73.8133875,40.7567165,0
718484,-73.9459077,40.7034228,0
210636,-73.9639663,40.7097813,1
22484,-73.87519,40.670723,1
877875,-73.7976006,40.6910021,0
29626,-73.915276,40.754066,1
554902,-74.2177725,40.5532456,0
3300,-73.90805,40.690647,1
60153,-73.747868,40.6926194,2
248421,-73.9495012,40.696848,0
103616,-73.8222184,40.6802503,1
598927,-73.8499629,40.7407022,0
415555,-73.9271529,40.8257237,0
23663,-74.10418,40.627274,1
27914,-73.96321,40.59319,1
424634,-73.8715971,40.7311821,0
314390,-73.8505618,40.6876631,2
246079,-73.8596365,40.7104205,0
871841,-73.9268365,40.8670642,1
63176,-73.8989524,40.7369925,4
310097,-73.9006734,40.6137453,0
712136,-73.732447,40.7435523,0
391463,-73.7925261,40.7063611,6
531172,-73.8375431,40.7433963,1
991521,-73.7385662,40.6663969,0
77674,-73.826063,40.5830137,1
980278,-73.7296444,40.6958361,0
973580,-73.8909872,40.8701594,0
346143,-73.8262912,40.7527129,0
32158,-73.90997,40.60878,1
253252,-73.7702691,40.5941913,2
790299,-73.9185913,40.8389831,2
297927,-73.9458928,40.7528696,0
41905,-73.89364,40.67091,1
781701,-73.9527671,40.6479951,0
958273,-73.8862898,40.6527684,0
407860,-73.9475949,40.7134777,0
463029,-73.9485319,40.719168,0
386574,-73.912698,40.8409303,0
15396,-73.98869,40.696198,0
