,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
453455,-73.9428634,40.8215413,1
519745,-73.7985857,40.7171308,1
951646,-73.92395,40.7336872,0
950395,-73.9064758,40.8837318,0
538436,-73.9511326,40.7884794,0
713993,-74.1234965,40.575808,0
283686,-74.0089269,40.7024547,0
365952,-73.8079946,40.6871435,0
955567,-73.9193145,40.829701,0
508453,-74.1147031,40.6113222,0
548094,-73.834937,40.71717,0
734473,-73.7232034,40.7541077,0
349299,-73.9814363,40.6138389,0
246240,-73.9106919,40.8088101,0
853106,-73.9588943,40.7749592,0
384103,-73.893235,40.6343932,0
996363,-73.8066379,40.6857669,0
509982,-73.9238405,40.73361,0
762228,-73.9230623,40.8260943,1
598469,-73.9667736,40.7147337,0
556399,-73.952507,40.8006858,0
518951,-73.9164929,40.7429133,0
538953,-73.946874,40.6267726,0
782566,-73.9846193,40.7591997,0
780963,-73.9447576,40.7197624,1
561599,-74.0048609,40.7416452,0
378521,-73.771782,40.7444686,1
478740,-73.9912163,40.6600184,0
502052,-73.8439779,40.7214535,0
953924,-73.8771311,40.7713758,0
989835,-73.8002203,40.708447,0
506781,-73.8777598,40.6929384,0
862912,-73.9865607,40.7616592,0
955755,-73.999242,40.7595273,0
575334,-73.8873529,40.6294968,0
246394,-73.9908443,40.718309,0
347453,-73.9753439,40.7553005,0
434127,-73.8225821,40.7891216,0
390060,-73.9519581,40.7151811,1
815178,-73.8947275,40.7457072,0
456896,-73.9514043,40.5993815,0
468139,-73.9113446,40.8049944,0
216329,-73.9729552,40.6734869,1
296138,-73.9989308,40.6626671,0
627184,-73.8721611,40.7418818,0
806709,-73.9845256,40.7427065,0
577014,-73.9675322,40.7717753,0
276654,-73.9757968,40.7406437,0
793055,-73.9765079,40.5966172,0
425298,-73.9751095,40.7353901,0
800403,-73.9620635,40.7637343,0
337264,-73.8743853,40.8790546,0
400937,-74.0058318,40.5781249,0
367684,-73.8738137,40.7309373,1
634447,-73.8167551,40.7134673,1
369813,-73.7373627,40.7578336,0
875900,-73.9758325,40.6818344,0
767224,-73.9943603,40.6902385,0
219144,-73.8863112,40.7280212,0
817185,-73.7229343,40.7642676,0
416203,-73.9311822,40.842349,0
835416,-73.9912843,40.7194838,0
556370,-73.9814305,40.6349546,0
226445,-73.7531836,40.7120557,0
417637,-73.8319573,40.7629537,4
220880,-73.9694731,40.6489697,0
282068,-73.9127392,40.8618642,0
575494,-73.8913807,40.8617006,0
330188,-73.8331043,40.7546608,0
268101,-73.8975198,40.678236,0
332919,-73.8311197,40.7615472,1
503588,-73.9167618,40.8165575,0
239146,-73.8913914,40.7466417,0
982345,-73.9250826,40.7325591,0
298993,-73.7261217,40.7522009,0
458122,-73.9085863,40.5931634,0
593373,-74.1482289,40.6086217,0
499621,-73.9625737,40.671645,0
805359,-73.7167907,40.7444645,0
468866,-73.9532051,40.7141086,0
857925,-73.9408539,40.8141049,2
478555,-73.8275149,40.7624202,0
616746,-73.9868516,40.751081,0
392666,-73.9481168,40.7010276,0
