,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
23543,-73.85213,40.78863,0
48939,-73.9995814,40.6731102,0
131142,-74.00298,40.7233076,3
33683,-74.17367,40.526707,0
29718,-73.7568,40.76217,0
888865,-73.8680316,40.7296904,0
12534,-74.01468,40.70983,1
606596,-74.0018831,40.7193963,0
902645,-73.9471151,40.5847573,2
86592,-73.9470508,40.7036649,1
96616,-73.9359293,40.8485182,0
329611,-73.9421971,40.6694023,0
120348,-73.8297,40.7170151,0
69607,-73.7518042,40.6824037,4
3140,-73.799286,40.79411,0
933905,-74.0799083,40.6429733,0
118150,-73.76858,40.73769,0
771054,-74.0798167,40.6061034,0
295580,-74.0695178,40.6030241,0
26599,-73.91282,40.861862,0
147517,-73.9673337,40.6464988,0
423050,-73.9887629,40.696197,0
552642,-74.0984395,40.5812422,0
16173,-73.9219,40.733917,0
80562,-73.9273036,40.7705273,0
83521,-73.8286787,40.7165581,0
34700,-73.90758,40.86717,0
756494,-73.8160998,40.7390852,0
281830,-73.9314939,40.8523802,0
628643,-73.8974603,40.8601444,0
34158,-74.03332,40.617943,0
663205,-73.9928041,40.7429104,1
17432,-73.928185,40.842422,0
249823,-73.7392073,40.6656299,0
571281,-73.921631,40.700675,0
107596,-74.0874866,40.6158108,0
79787,-73.8973757,40.8422901,0
324988,-74.0227732,40.6215812,0
81712,-74.0994333,40.6176758,0
81567,-73.9786009,40.7623963,1
45986,-74.0933639,40.5970318,0
87235,-74.0200706,40.6184746,1
459657,-73.9532051,40.7141086,1
602899,-73.9776921,40.7921628,1
100669,-73.9638463,40.7979178,0
915075,-73.8596365,40.7104205,0
54372,-73.9019342,40.7607317,0
84039,-74.0001119,40.7387249,2
824464,-73.9499265,40.7404432,0
19608,-74.19484,40.53147,1
891620,-73.8239111,40.7014069,1
243822,-73.9354092,40.7960032,0
91433,-73.9543564,40.826392,0
250670,-73.7311691,40.7121162,0
42632,-73.8744348,40.743693,1
78932,-74.0245533,40.6233046,0
7086,-73.85391,40.699993,0
26365,-73.959114,40.61811,1
96660,-73.996771,40.725432,0
379534,-73.996196,40.7484385,1
32610,-73.73534,40.67244,0
38618,-74.01103,40.725937,2
807274,-73.8086138,40.7184467,1
40222,-73.923965,40.71617,1
27825,-73.98978,40.719025,1
10113,-73.792854,40.70024,0
294617,-73.9744391,40.6863108,2
32281,-73.83802,40.72656,1
23750,-73.81342,40.68275,0
737058,-73.8856043,40.8465443,0
517064,-73.9218247,40.6769384,0
20831,-73.97481,40.714314,1
23676,-73.99418,40.766502,1
496950,-73.9333522,40.7582757,0
494582,-73.8654089,40.6519753,1
941714,-73.7894141,40.7381096,0
102379,-73.8275178,40.6678987,0
35336,-73.97524,40.599724,0
